agency,date,title,status,purpose,period_covered,link
PNPDIDM,"February 05, 2022",STATISTICAL DATA OF CICL,PENDING,Research for JUVENILE JUSTICE DELINQUENCY subject in our graduate studies,12/31/2011 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFFBOUERJRE0tNjMzOTk5NjIzNjA1DA
DOH,"February 05, 2022",Covid 19 Booster Shot Certificate,ACCEPTED,Needed for Working Abroad,01/13/2022 - 01/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04Mjk4MjI3Mjg3NzkM
DOH,"February 05, 2022",Covid 19 Booster Shot Certificate,ACCEPTED,Working Abroad,01/13/2022 - 01/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xMzgwMjUyOTk1NDAM
DOH,"February 05, 2022",Vaccination,ACCEPTED,Commute,01/12/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yOTM0NTc4MTEyNjEM
DOH,"February 05, 2022",Lost Vaccination Card,ACCEPTED,For travel and to enter establishment,02/05/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0zMDkzODE5ODc3NDkM
DOH,"February 05, 2022",Vaccination Certificate,ACCEPTED,For Travel purposes,08/17/2021 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0zMzIxNjU0OTA0NjUM
DOH,"February 05, 2022",Vaccination certificate,ACCEPTED,Certification,08/04/2021 - 01/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wMjg2MTU1MDE0MzEM
OWWA,"February 05, 2022",Covid 19 Booster Shot Certificatw,PENDING,Working Abroad,01/13/2022 - 01/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU9XV0EtOTAxNDg4NDI1MzUyDA
CFO,"February 05, 2022",Covid 19 Booster Shot Certificate,REFERRED,Needed for Working Abroad,01/13/2022 - 01/13/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEENGTy03NTA1MTE1NTY2NDQM
DOH,"February 05, 2022",Vaxcert,ACCEPTED,Travel required,12/05/2021 - 12/28/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00NzM1OTUzOTI1NTEM
SBMA,"February 05, 2022",smart phone vivo y20i,PENDING,for my business,01/31/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVNCTUEtMDg3OTAxMzAwODM1DA
NCCA,"February 05, 2022",Documents and studies about Jama Mapun and their culture in Palawan,PENDING,For Academic and Research Purpose,01/01/2008 - 02/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU5DQ0EtNzQwNzMyOTgyMzI0DA
NPC,"February 05, 2022",DAMILOAN HARASSMENT,PENDING,Harassment and Threats,02/05/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5QQy04NjY0NTc1MzQyMzEM
SSS,"February 05, 2022",Web Registration,PENDING,Registering for the portal of SSS,02/05/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy05MDMwMzQ0OTA3ODUM
DOH,"February 05, 2022","List of Hospitals in Caraga Region, their Bed capacity, and total number of staff doctors, nurses, p",ACCEPTED,thesis/research purposes,02/05/2021 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01MjY4MzQxMTM4ODgM
DOLE,"February 05, 2022",DOLE TABANG STATUS ENQUIRY,PENDING,To know my status in DOLE TABANG,01/25/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtOTg2OTEwOTg5MTQyDA
DOLE,"February 05, 2022",DOLE TABANG STATUS INQUIRY,PENDING,To know my status in DOLE TABANG,01/17/2022 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNDM4ODQ4NDU4OTEzDA
SSS,"February 05, 2022",Request for my Regular Savings (Mandatory Contribution),PENDING,To know my Regular Savings (Mandatory Contribution),11/11/2016 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy0zMDk4MzYxMjI3ODUM
DOH,"February 05, 2022",Solo Parents in the midst of Pandemic,PENDING,Research Project,06/10/2020 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04MzAxODYyMzQ5MDkM
SSS,"February 05, 2022",Updating my SSS personal information,PENDING,Updating my SSS personal information,11/11/2016 - 02/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy01MzY3ODkwOTEzMjAM
