agency,date,title,status,purpose,period_covered,link
LTO,"June 21, 2023",Authenticated Driver's License,PENDING,For Employer's Promotion,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExUTy0zMTU0MzAzMTI4NjQM
ERC,"June 21, 2023",Electrical Energy Consumption on District I (Siargao Islands) of Surigao del Norte,ACCEPTED,Research,01/01/2015 - 12/31/2019,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEVSQy02MDA5OTI0MjQ0MjEM
LWUA,"June 21, 2023",Water Consumption on District I (Siargao Islands) of Surigao del Norte,PENDING,Research,01/01/2015 - 12/31/2019,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUxXVUEtMzY4MDcyMjM3MjM1DA
SSS,"June 21, 2023",Upgrading paycard in union bank,PENDING,To have a paycard in sss,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy0zNDA2NDAzMTExNTAM
DENR EMB,"June 21, 2023",Modelling Carbon Emmision in Tarlac City,PENDING,Research,01/01/2019 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJFTUItMjk1OTU4MzMyNTc2DA
NTC,"June 21, 2023",Problem with Converge ICT,PENDING,Request to unblock website,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0yNTgwNDg3ODQ2OTQM
CHED,"June 21, 2023",Request for TOR from Abraham Dumlao Colleges of the Philippines Branch Kaligayan Novaliches Q.C,PENDING,I need the transcript from Dumlao school to be forwarded to University of Caloocan City.,06/21/2007 - 11/21/2007,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtOTQ3NjU3MjgxMDk0DA
SSS,"June 21, 2023",SSS,PENDING,Pension Loan,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy0wNzcwOTAxNzIzMzAM
SSS,"June 21, 2023",SSS,PENDING,Pension Loan,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNTUy00MjM5ODcwOTQ0NTAM
PSA,"June 21, 2023","The data about mortality rate in Kalibo, Aklan",PENDING,Thesis Research,01/01/2019 - 01/01/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0xOTQwMzA4MjkwNzQM
DENR EMB,"June 21, 2023",Environmental Impact Statement of the Leyte Road Heightening and Tide Embankment Project,PENDING,End of Term Paper at School,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJFTUItMzA2NjYwMDgxNDEyDA
CHED,"June 21, 2023",Transcript of Records,PENDING,For Employment,06/01/2015 - 05/30/2019,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtMTQ0NjYwMDU4Nzk4DA
BI,"June 21, 2023","Number of Airline passengers per nationality, point of origin, and airport entry point (2020-2023)",PENDING,College Requirement (Tourism Profile for Pasay),01/01/2020 - 06/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0JJLTAyNzA5MjY3MDU0OQw
PNP,"June 21, 2023",RWP POI (Mountain Province),ACCEPTED,Basis in conducting RWP Training,06/21/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0wMzMwNzY5Mjk1NTUM
BIR,"June 21, 2023",ITR for 2022,AWAITING CLARIFICATION,Employment Requirement,01/01/2022 - 12/31/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi02MjI0MjQxODk2MTEM
PRC,"June 21, 2023",PRC online Record Mismatched,PENDING,for application of a license here in Saudi Arabia,06/18/2023 - 06/21/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy01MTM5NTgwMjMwODgM
NBI,"June 21, 2023",Requesting for criminal record,PENDING,For my own record,06/21/2007 - 06/21/2012,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0xMTA5NzY5MjMyNzcM
